BOCC Report,Duplicate / Different Acc/ WSH / Near Miss / Need Not Report,Time of Accident,Date of Accident,Service No,Employee No,Date approved,"[Auto]
Overall Case status",LTA Ref No,"[Auto]
Lead Time Submitted Cases","[Auto] 
CCTV Lead Time - Received","[Auto]
CCTV Lead Time - Pending","[Auto]
Today's Date",Date approved.1
442369,,13:55:00,2024-04-09 00:00:00,920,34969,Yes,No,,1.0,Not Applicable,19,2024-05-08 15:00:45.490,
442464,,16:20:00,2024-04-10 00:00:00,OSB,50856,Yes,No,,1.0,Not Applicable,19,2024-05-08 15:00:45.400,
442613,,18:05:00,2024-04-11 00:00:00,190,20712,Yes,No,,1.0,Not Applicable,19,2024-05-08 15:00:45.400,
442801,,08:45:00,2024-04-13 00:00:00,188,10230,Yes,No,,1.0,Not Applicable,18,2024-05-08 15:00:45.520,
443003,,08:25:00,2024-04-15 00:00:00,991,30447,Yes,No,,1.0,Not Applicable,18,2024-05-08 15:00:45.490,
443008,,08:02:00,2024-04-15 00:00:00,67,32029,Yes,No,,1.0,2,Not Applicable,2024-05-08 15:00:45.400,
443292,,18:40:00,2024-04-17 00:00:00,67,32382,Yes,No,,1.0,Not Applicable,15,2024-05-08 15:00:45.460,
443333,,07:32:00,2024-04-18 00:00:00,187,72419,Yes,No,,1.0,Not Applicable,15,2024-05-08 15:00:45.410,
443487,,13:26:00,2024-04-19 00:00:00,970,67213,Yes,No,,1.0,Not Applicable,14,2024-05-08 15:00:45.430,
443511,,15:50:00,2024-04-19 00:00:00,960,67290,Yes,No,,1.0,Not Applicable,13,2024-05-08 15:00:45.430,
444708,,13:28:00,2024-04-21 00:00:00,67,22447,Yes,No,,1.0,Not Applicable,13,2024-05-08 15:00:45.410,
444716,,14:22:00,2024-04-21 00:00:00,178,18459,Yes,No,,1.0,Not Applicable,13,2024-05-08 15:00:45.410,
444804,,10:03:00,2024-04-22 00:00:00,OSB,20817,Yes,No,,1.0,2,Not Applicable,2024-05-08 15:00:45.400,
444852,,15:48:00,2024-04-22 00:00:00,920,34912,Yes,No,,1.0,Not Applicable,12,2024-05-08 15:00:45.490,
444917,,07:16:00,2024-04-23 00:00:00,187,28831,Yes,No,,1.0,Not Applicable,12,2024-05-08 15:00:45.400,
444937,,10:24:00,2024-04-23 00:00:00,961,21119,Yes,No,,1.0,2,Not Applicable,2024-05-08 15:00:45.400,
444946,,05:00:00,2024-04-23 00:00:00,302,24023,Yes,No,,1.0,Not Applicable,12,2024-05-08 15:00:45.430,
444963,,09:21:00,2024-04-20 00:00:00,178,71533,Yes,No,,32439.0,Not Applicable,12,2024-05-08 15:00:45.400,
444988,,17:31:00,2024-04-23 00:00:00,172,67417,Yes,No,,1.0,Not Applicable,11,2024-05-08 15:00:45.410,
445045,,07:12:00,2024-04-24 00:00:00,991,21004,Yes,No,,1.0,Not Applicable,11,2024-05-08 15:00:45.400,
445101,,17:17:00,2024-04-24 00:00:00,110,25635,Yes,No,,1.0,Not Applicable,10,2024-05-08 15:00:45.460,
445140,,06:23:00,2024-04-25 00:00:00,950,67423,Yes,No,,1.0,Not Applicable,10,2024-05-08 15:00:45.430,
445247,Duplicate,05:35:00,2024-04-26 00:00:00,176,24327,Yes,No,,1.0,Not Applicable,9,2024-05-08 15:00:45.430,
445291,Duplicate,15:01:00,2024-04-26 00:00:00,301,30788,Yes,No,,1.0,Not Applicable,8,2024-05-08 15:00:45.400,
445339,,21:35:00,2024-04-26 00:00:00,970,34852,Yes,No,,1.0,Not Applicable,8,2024-05-08 15:00:45.400,
445371,,09:35:00,2024-04-27 00:00:00,920,34798,Yes,No,,1.0,Not Applicable,8,2024-05-08 15:00:45.430,
445402,,16:24:00,2024-04-27 00:00:00,911,37113,Yes,No,,1.0,Not Applicable,8,2024-05-08 15:00:45.410,
445654,,09:34:00,2024-04-30 00:00:00,180,18337,Yes,No,,1.0,Not Applicable,3,2024-05-08 15:00:45.430,
445680,,16:47:00,2024-04-30 00:00:00,912A,36814,Yes,No,,,,,,
445735,Duplicate,10:19:00,01-May-2024 (Wed),985,34440,,,,,,,,
445881,,14:52:00,02-May-2024 (Thu),307,35269,,,,,,,,
446053,,18:21:00,03-May-2024 (Fri),67,34198,,,,,,,,
446166,,18:38:00,04-May-2024 (Sat),972,32194,,,,,,,,
446190,,01:50:00,05-May-2024 (Sun),901M,10914,,,,,,,,
446301,CAT 1,08:12:00,06-May-2024 (Mon),67,35458,,,,,,,,
446326,,12:57:00,06-May-2024 (Mon),176,24327,,,,,,,,
446368,,19:25:00,06-May-2024 (Mon),61,36083,,,,,,,,
446390,,05:26:00,07-May-2024 (Tue),180,12361,,,,,,,,
446459,,16:50:00,07-May-2024 (Tue),665,15274,,,,,,,,
446493,,20:32:00,07-May-2024 (Tue),976,35089,,,,,,,,
446562,,13:24:00,08-May-2024 (Wed),960,67377,,,,,,,,
446608,,19:24:00,08-May-2024 (Wed),982E,12827,,,,,,,,
446632,,23:23:00,08-May-2024 (Wed),67,32698,,,,,,,,
446861,,18:16:00,10-May-2024 (Fri),920,34912,,,,,,,,
446888,,19:58:00,10-May-2024 (Fri),75,72265,,,,,,,,
447007,Duplicate,10:11:00,12-May-2024 (Sun),188,67825,,,,,,,,
447060,,20:56:00,12-May-2024 (Sun),67,73222,,,,,,,,
447196,,17:22:00,13-May-2024 (Mon),991,26151,,,,,,,,
447197,,20:57:00,13-May-2024 (Mon),913,67894,,,,,,,,
447254,,09:28:00,14-May-2024 (Tue),180,13200,,,,,,,,
447434,,06:31:00,15-May-2024 (Wed),904,64035,,,,,,,,
447556,,13:34:00,16-May-2024 (Thu),906e,22615,,,,,,,,
447586,,16:45:00,15-May-2024 (Wed),911,24227,,,,,,,,
447657,,07:58:00,17-May-2024 (Fri),188,15608,,,,,,,,
447674,,18:02:00,15-May-2024 (Wed),960,28660,,,,,,,,
447684,,06:25:00,17-May-2024 (Fri),976,37273,,,,,,,,
447705,,14:20:00,17-May-2024 (Fri),911,34121,,,,,,,,
447786,Duplicate,06:32:00,18-May-2024 (Sat),OSB,73824,,,,,,,,
447847,CAT 1,16:40:00,18-May-2024 (Sat),983,25709,,,,,,,,
448024,,10:11:00,20-May-2024 (Mon),67,28594,,,,,,,,
448026,,10:45:00,20-May-2024 (Mon),OSB 67,67229,,,,,,,,
448062,,15:48:00,20-May-2024 (Mon),OSB 925,35754,,,,,,,,
448065,Duplicate,15:24:00,20-May-2024 (Mon),979,26935,,,,,,,,
